,Title,ReleaseYear_x,CriticsTomatometer,MovieUrl,AORotFresh,Genre,Run_Time,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear_y
539,"Niki and Flo (Niki Ardelean, colonel in rezerva)",,,/m/niki-and-flo/,1,Drama,99 minutes,,,,,,
540,This Is Not a Film,2012,98%,/m/this_is_not_a_film_2011/,1,Art House & International,75 minutes,,,,,,
541,The Convincer (Thin Ice),2012,69%,/m/thin_ice_2012/,0,Comedy,93 minutes,,,,,,
542,The Forgotten Space,2012,71%,/m/the_forgotten_space_2011/,1,Documentary,110 minutes,,,,,,
543,The Vow,2012,29%,/m/the_vow_2012/,0,Drama,104 minutes,SGem,"$125,014,030","3,038","$41,202,458","2,958",2/10/2012
544,The Turin Horse,2012,88%,/m/the_turin_horse/,1,Art House & International,146 minutes,CGld,"$56,391",3,"$9,145",1,2/10/2012
545,Chico & Rita,2012,86%,/m/chico_and_rita/,1,Animation,94 minutes,GK,"$350,524",23,"$20,654",1,2/10/2012
546,The Innkeepers,2012,79%,/m/the_innkeepers/,0,Horror,102 minutes,Magn.,"$78,396",25,"$29,557",25,2/3/2012
547,One for the Money,2012,2%,/m/one_for_the_money/,0,Comedy,91 minutes,,,,,,
548,The Grey,2012,79%,/m/the_grey_2012/,1,Action & Adventure,118 minutes,,,,,,
549,"How Much Does Your Building Weigh, Mr. Foster?",2012,55%,/m/how_much_does_your_building_weigh_mr_foster_2011/,0,Documentary,78 minutes,,,,,,
550,Haywire,2012,80%,/m/haywire_2011/,0,Action & Adventure,93 minutes,Rela.,"$18,942,396","2,441","$8,425,370","2,439",1/20/2012
551,Crazy Horse,2012,83%,/m/crazy_horse_2010/,1,Documentary,134 minutes,Zipp.,"$157,782",14,"$7,963",1,1/18/2012
552,A Separation,2011,99%,/m/a_separation_2011/,1,Art House & International,123 minutes,SPC,"$7,099,055",282,"$59,481",3,12/30/2011
553,The Iron Lady,2012,51%,/m/the_iron_lady/,0,Art House & International,104 minutes,Wein.,"$30,017,992","1,244","$220,409",4,12/30/2011
554,Pina,2011,95%,/m/pina_3d/,1,Documentary,103 minutes,,,,,,
555,War Horse,2011,76%,/m/war_horse/,1,Action & Adventure,146 minutes,BV,"$79,884,879","2,856","$7,515,402","2,376",12/25/2011
556,Albert Nobbs,2012,57%,/m/albert_nobbs/,1,Drama,113 minutes,RAtt.,"$3,014,696",245,"$696,088",245,1/27/2012
557,The Girl with the Dragon Tattoo,2011,86%,/m/the_girl_with_the_dragon_tattoo/,0,Drama,157 minutes,,,,,,
558,Corman's World: Exploits Of A Hollywood Rebel,2011,92%,/m/cormans_world_exploits_of_a_hollywood_rebel/,1,Documentary,90 minutes,,,,,,
559,Sherlock Holmes: A Game of Shadows,2011,60%,/m/sherlock_holmes_a_game_of_shadows/,0,Action & Adventure,128 minutes,WB,"$186,848,418","3,703","$39,637,079","3,703",12/16/2011
560,Sherlock Holmes: A Game of Shadows,2011,60%,/m/sherlock_holmes_a_game_of_shadows/,0,Action & Adventure,128 minutes,WB,"$186,848,418","3,703","$39,637,079","3,703",12/16/2011
561,Carnage,2011,71%,/m/carnage/,0,Comedy,80 minutes,,,,,,
562,In Darkness,2012,88%,/m/in_darkness_2011/,1,Drama,145 minutes,SPC,"$1,041,455",52,"$27,413",3,2/10/2012
563,We Need to Talk About Kevin,2012,76%,/m/we_need_to_talk_about_kevin/,1,Drama,112 minutes,Osci.,"$1,738,692",80,"$24,587",1,12/9/2011
564,Young Adult,2011,80%,/m/young_adult/,1,Comedy,93 minutes,Par.,"$16,311,571",987,"$310,263",8,12/9/2011
565,Sleeping Beauty,2011,49%,/m/771239978/,1,Art House & International,104 minutes,,,,,,
566,Shame,2011,79%,/m/shame_2011/,1,Drama,101 minutes,,,,,,
567,A Brighter Summer Day,2011,100%,/m/a_brighter_summer_day_1991/,1,Art House & International,237 minutes,,,,,,
568,The Artist,2011,97%,/m/the_artist/,1,Comedy,100 minutes,,,,,,
569,A Dangerous Method,2011,77%,/m/a_dangerous_method/,1,Drama,99 minutes,SPC,"$5,704,709",365,"$167,953",4,11/23/2011
570,Eames: The Architect And The Painter,2011,88%,/m/eames_the_architect_and_the_painter_2011/,1,Documentary,84 minutes,,,,,,
571,Tyrannosaur,2011,83%,/m/tyrannosaur/,0,Art House & International,91 minutes,,,,,,
572,The Descendants,2011,89%,/m/the_descendants_2011/,1,Comedy,115 minutes,FoxS,"$82,584,160","2,038","$1,190,096",29,11/16/2011
573,Into The Abyss,2011,92%,/m/into_the_abyss_2011/,1,Documentary,106 minutes,,,,,,
574,Jack and Jill,2011,3%,/m/jack_and_jill_2011/,0,Comedy,93 minutes,Sony,"$74,158,157","3,438","$25,003,575","3,438",11/11/2011
575,Melancholia,2011,79%,/m/melancholia-2008/,1,Art House & International,135 minutes,Magn.,"$3,030,848",145,"$257,174",19,11/11/2011
576,Goethe! (Young Goethe in Love),2011,64%,/m/goethe/,0,Art House & International,100 minutes,,,,,,
577,Tower Heist,2011,68%,/m/tower_heist/,0,Action & Adventure,99 minutes,Uni.,"$78,046,570","3,870","$24,025,190","3,367",11/4/2011
578,The Rum Diary,2011,50%,/m/The-Rum-Diary/,1,Action & Adventure,120 minutes,FD,"$13,109,815","2,292","$5,135,369","2,273",10/28/2011
579,Urbanized,2011,100%,/m/urbanized_2011/,1,Documentary,82 minutes,,,,,,
580,Anonymous,2011,46%,/m/anonymous_2011/,0,Art House & International,129 minutes,,,,,,
581,Martha Marcy May Marlene,2011,90%,/m/martha_marcy_may_marlene/,0,Drama,102 minutes,FoxS,"$2,990,625",183,"$137,651",4,10/21/2011
582,Le Havre,2011,99%,/m/le_havre_2011/,1,Comedy,93 minutes,Jan.,"$611,709",25,"$26,363",6,10/21/2011
583,Margin Call,2011,88%,/m/margin_call/,1,Mystery & Suspense,106 minutes,RAtt.,"$5,354,039",199,"$561,906",56,10/21/2011
584,Paul Goodman Changed My Life,2011,95%,/m/paul_goodman_changed_my_life_2011/,1,Documentary,89 minutes,Zeit.,"$35,671",2,"$5,754",1,10/19/2011
585,The Big Year,2011,40%,/m/the_big_year/,1,Comedy,100 minutes,Fox,"$7,204,138","2,150","$3,251,884","2,150",10/14/2011
586,Footloose,2011,69%,/m/footloose-2010/,0,Comedy,113 minutes,,,,,,
587,Dirty Girl,2011,27%,/m/dirty_girl_2011/,0,Comedy,90 minutes,Wein.,"$55,125",10,"$17,859",9,10/7/2011
588,The Ides of March,2011,84%,/m/the_ides_of_march/,0,Drama,102 minutes,Sony,"$40,962,534","2,199","$10,470,143","2,199",10/7/2011
589,Sarah Palin: You Betcha!,2011,32%,/m/sarah_palin_you_betcha/,0,Documentary,90 minutes,,,,,,
590,Margaret,2011,74%,/m/margaret_2010/,0,Drama,149 minutes,FoxS,"$46,495",14,"$7,525",2,9/30/2011
591,Take Shelter,2011,92%,/m/take_shelter/,1,Drama,120 minutes,SPC,"$1,730,296",91,"$52,041",3,9/30/2011
592,Red State,2011,59%,/m/red_state/,0,Horror,88 minutes,SMod,"$1,104,682",5,"$204,230",1,3/5/2011
593,Machine Gun Preacher,2011,29%,/m/machine_gun_preacher/,0,Action & Adventure,123 minutes,Rela.,"$538,690",93,"$45,130",4,9/23/2011
594,Weekend,2011,95%,/m/weekend_2011/,1,Action & Adventure,96 minutes,,,,,,
595,Restless,2011,36%,/m/restless_2010/,1,Drama,91 minutes,,,,,,
596,Straw Dogs,2011,40%,/m/straw-dogs-2011/,1,Mystery & Suspense,109 minutes,,,,,,
597,Drive,2011,92%,/m/drive_2011/,0,Action & Adventure,100 minutes,,,,,,
598,Bucky Larson: Born to Be a Star,2011,0%,/m/bucky_larson_born_to_be_a_star/,0,Comedy,96 minutes,Sony,"$2,529,395","1,500","$1,415,023","1,500",9/9/2011
599,Bobby Fischer Against The World,2011,87%,/m/bobby_fischer_against_the_world/,1,Documentary,90 minutes,,,,,,
600,The Black Power Mixtape 1967-1975,2011,91%,/m/the_black_power_mix_tape_1967_1975/,1,Documentary,92 minutes,,,,,,
601,Warrior,2011,82%,/m/1212910-warrior/,1,Action & Adventure,139 minutes,,,,,,
602,Love Crime,2011,64%,/m/love_crime/,1,Art House & International,106 minutes,IFC,"$539,792",29,"$35,375",5,9/2/2011
603,Detective Dee and the Mystery of the Phantom Flame,2011,80%,/m/detective_dee_and_the_mystery_of_the_phantom_flame/,1,Action & Adventure,122 minutes,IM,"$459,836",48,"$52,617",3,9/2/2011
604,Gainsbourg: A Heroic Life,2011,73%,/m/gainsbourg_a_heroic_life/,0,Drama,135 minutes,MBox,"$233,007",19,"$25,189",3,8/31/2011
605,The Debt,2011,76%,/m/1211195-debt/,1,Drama,113 minutes,Focus,"$31,177,548","1,874","$9,909,499","1,826",8/31/2011
606,In a Lonely Place,1950,97%,/m/in_a_lonely_place/,0,Classics,93 minutes,,,,,,
607,Our Idiot Brother,2011,68%,/m/our_idiot_brother/,1,Comedy,100 minutes,Wein.,"$24,816,118","2,555","$7,011,631","2,555",8/26/2011
608,Higher Ground,2011,81%,/m/higher_ground_2011/,1,Drama,109 minutes,SPC,"$841,733",81,"$21,495",3,8/26/2011
609,Circumstance,2011,85%,/m/771228738/,1,Art House & International,106 minutes,RAtt.,"$454,121",31,"$43,318",7,8/26/2011
610,Iron Crows,2011,88%,/m/iron_crows_2009/,1,Art House & International,59 minutes,,,,,,
611,You yi tian (One Day),2010,45%,/m/one_day/,0,Art House & International,93 minutes,,,,,,
612,Fright Night,2011,72%,/m/fright_night-2011/,1,Comedy,101 minutes,,,,,,
613,Amigo,2011,62%,/m/amigo_2010/,1,Drama,124 minutes,Vari.,"$184,705",10,"$37,324",10,8/19/2011
614,One Day,2011,36%,/m/one_day_2014/,1,Comedy,107 minutes,,,,,,
615,Mei loi ging chaat (Future X-Cops),2010,76%,/m/mei_loi_ging_chaatfuture_x_cops/,0,Action & Adventure,101 minutes,,,,,,
616,The Devil's Double,2011,52%,/m/the_devils_double/,1,Action & Adventure,108 minutes,LGF,"$1,361,512",89,"$96,414",5,7/29/2011
617,"Crazy, Stupid, Love.",2011,78%,/m/771203531/,1,Comedy,118 minutes,,,,,,
618,The Future,2011,71%,/m/the_future/,1,Comedy,91 minutes,,,,,,
619,Autoerotic,2011,22%,/m/autoerotic/,1,Comedy,72 minutes,,,,,,
620,The Myth Of The American Sleepover,2011,80%,/m/myth_of_the_ameican_sleepover/,1,Comedy,93 minutes,,,,,,
621,Captain America: The First Avenger,2011,80%,/m/captain-america/,1,Action & Adventure,124 minutes,Par.,"$176,654,505","3,715","$65,058,524","3,715",7/22/2011
622,Impolex,2011,,/m/impolex/,0,Action & Adventure,75 minutes,,,,,,
623,Winnie the Pooh,2011,90%,/m/winnie_the_pooh_2011/,1,Animation,73 minutes,BV,"$26,692,846","2,405","$7,857,076","2,405",7/15/2011
624,Salvation Boulevard,2011,21%,/m/salvation_boulevard/,0,Comedy,95 minutes,IFC,"$28,468",4,"$7,208",4,7/15/2011
625,Tabloid,2011,91%,/m/tabloid_2010/,1,Documentary,87 minutes,IFC,"$696,921",37,"$91,201",14,7/15/2011
626,Romeo & Juliet in Yiddish,2011,75%,/m/romeo_and_juliet_in_yiddish/,1,Comedy,89 minutes,,,,,,
627,Project Nim,2011,98%,/m/project_nim/,1,Art House & International,99 minutes,RAtt.,"$411,184",22,"$25,820",4,7/8/2011
628,Horrible Bosses,2011,68%,/m/horrible_bosses/,1,Comedy,106 minutes,,,,,,
629,Lost in America,1985,96%,/m/lost_in_america/,0,Comedy,91 minutes,WB,"$10,179,000",315,"$154,877",6,3/15/1985
630,Terri,2011,86%,/m/terri_2011/,1,Comedy,105 minutes,,,,,,
631,Polytechnique,2009,85%,/m/10011130-polytechnique/,1,Drama,77 minutes,,,,,,
632,Transformers: Dark of the Moon,2011,35%,/m/transformers_dark_of_the_moon/,1,Action & Adventure,154 minutes,P/DW,"$352,390,543","4,088","$97,852,865","4,088",6/29/2011
633,Cars 2,2011,39%,/m/cars_2/,0,Action & Adventure,112 minutes,BV,"$191,452,396","4,115","$66,135,507","4,115",6/24/2011
634,Passione,2011,89%,/m/passione/,1,Documentary,90 minutes,Abr.,"$255,355",5,"$15,377",1,6/22/2011
635,The Art of Getting By,2011,18%,/m/the_art_of_getting_by/,0,Comedy,83 minutes,FoxS,"$1,430,241",610,"$679,160",610,6/17/2011
636,Mr. Popper's Penguins,2011,48%,/m/mr_poppers_penguins_2010/,1,Comedy,97 minutes,Fox,"$68,224,452","3,342","$18,445,355","3,339",6/17/2011
637,Un Chien Andalou,1929,100%,/m/un_chien_andalou/,0,Art House & International,20 minutes,,,,,,
638,Agrarian Utopia,2011,,/m/agrarian_utopia/,1,Documentary,122 minutes,,,,,,
639,Super 8,2011,82%,/m/super_8/,1,Action & Adventure,112 minutes,Par.,"$127,004,179","3,424","$35,451,168","3,379",6/10/2011
640,Film socialisme,2011,59%,/m/film_socialisme/,1,Art House & International,101 minutes,,,,,,
641,Submarine,2011,86%,/m/submarine-2010/,1,Comedy,97 minutes,Wein.,"$467,602",28,"$41,832",4,6/3/2011
642,The Tree of Life,2011,84%,/m/the_tree_of_life_2011/,1,Action & Adventure,139 minutes,FoxS,"$13,303,319",237,"$372,920",4,5/27/2011
643,Kung Fu Panda 2,2011,81%,/m/kung_fu_panda_the_kaboom_of_doom/,0,Action & Adventure,88 minutes,P/DW,"$165,249,063","3,952","$47,656,302","3,925",5/26/2011
644,"Tuesday, After Christmas",2011,73%,/m/tuesday_after_christmas/,1,Art House & International,99 minutes,,,,,,
645,Withnail and I,1987,94%,/m/withnail_and_i/,0,Comedy,108 minutes,Cinpx,"$1,544,889",n/a,n/a,n/a,1987
646,Lost Bohemia,2011,100%,/m/lost_bohemia/,1,Documentary,67 minutes,Long Shot,"$23,584",2,n/a,n/a,5/20/2011
647,Pirates of the Caribbean: On Stranger Tides,2011,32%,/m/pirates_of_the_caribbean_on_stranger_tides/,0,Action & Adventure,137 minutes,BV,"$241,071,802","4,164","$90,151,958","4,155",5/20/2011
648,Midnight in Paris,2011,93%,/m/midnight_in_paris/,1,Comedy,94 minutes,SPC,"$56,817,045","1,038","$599,003",6,5/20/2011
649,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg),2004,98%,/m/the_umbrellas_of_cherbourg_2004/,0,Art House & International,90 minutes,,,,,,
650,The First Grader,2011,59%,/m/the_first_grader/,1,Art House & International,103 minutes,NGE,"$332,306",36,"$20,437",3,5/13/2011
651,Everything Must Go,2011,75%,/m/everything_must_go/,1,Comedy,97 minutes,RAtt.,"$2,711,643",245,"$791,676",218,5/13/2011
652,A Serbian Film,2011,46%,/m/a_serbian_film/,0,Horror,103 minutes,,,,,,
653,Jumping the Broom,2011,56%,/m/jumping_the_broom/,0,Comedy,112 minutes,TriS,"$37,295,394","2,035","$15,215,487","2,035",5/6/2011
654,Something Borrowed,2011,15%,/m/something_borrowed_2011/,0,Comedy,112 minutes,WB,"$39,046,489","2,904","$13,945,368","2,904",5/6/2011
655,Thor,2011,77%,/m/thor/,0,Action & Adventure,115 minutes,,,,,,
656,Gembaku no ko (Children of Hiroshima),1952,,/m/gembaku-no-ko/,1,Art House & International,97 minutes,,,,,,
657,Incendies,2011,92%,/m/incendies/,1,Drama,130 minutes,,,,,,
658,Armadillo,2011,90%,/m/armadillo_2010/,1,Documentary,100 minutes,Lorb.,"$14,566",1,"$3,958",1,4/15/2011
659,The Conspirator,2011,55%,/m/the_conspirator/,0,Drama,122 minutes,RAtt.,"$11,538,204",849,"$3,506,602",707,4/15/2011
660,Meek's Cutoff,2011,86%,/m/meeks_cutoff/,1,Drama,104 minutes,Osci.,"$977,772",45,"$20,024",2,4/8/2011
661,Arthur,2011,26%,/m/arthur_2011/,0,Comedy,109 minutes,,,,,,
662,Blank City,2011,79%,/m/blank-city/,1,Documentary,96 minutes,IR,"$116,037",3,"$13,989",1,4/6/2011
663,Hop,2011,25%,/m/hop_2011/,0,Comedy,94 minutes,,,,,,
664,In A Better World,2011,77%,/m/in_a_better_world/,0,Art House & International,113 minutes,,,,,,
665,The Four Times (Le Quattro Volte),2011,93%,/m/the_four_times/,1,Art House & International,88 minutes,,,,,,
666,Potiche,2011,83%,/m/potiche/,1,Art House & International,103 minutes,MBox,"$1,618,844",74,"$86,017",7,3/25/2011
667,Miral,2011,17%,/m/miral/,0,Art House & International,114 minutes,Wein.,"$373,420",29,"$66,244",4,3/25/2011
668,Sucker Punch,2011,24%,/m/sucker-punch-2010/,0,Action & Adventure,110 minutes,WB,"$36,392,502","3,033","$19,058,199","3,033",3/25/2011
669,Lorne Greene's New Wilderness,1992,,/m/lorne_greenes_new_wilderness_master_hunter_of_the_night/,0,Documentary,22 minutes,,,,,,
670,Win Win,2011,94%,/m/win_win_2011/,1,Comedy,106 minutes,FoxS,"$10,179,275",388,"$150,362",5,3/18/2011
671,Limitless,2011,70%,/m/limitless/,1,Mystery & Suspense,105 minutes,Rela.,"$79,249,455","2,838","$18,907,302","2,756",3/18/2011
672,Jane Eyre,2011,84%,/m/jane_eyre_2011/,1,Drama,121 minutes,Focus,"$11,242,660",319,"$182,885",4,3/11/2011
673,Battle: Los Angeles,2011,35%,/m/battle-los-angeles/,0,Action & Adventure,116 minutes,Sony,"$83,552,429","3,417","$35,573,187","3,417",3/11/2011
674,Foreign Parts,2011,,/m/foreign_parts/,1,Documentary,81 minutes,,,,,,
675,The Warriors,1979,89%,/m/1023205-warriors/,0,Action & Adventure,93 minutes,,,,,,
676,Rango,2011,87%,/m/rango/,1,Action & Adventure,107 minutes,Par.,"$123,477,607","3,923","$38,079,323","3,917",3/4/2011
677,Uncle Boonmee Who Can Recall His Past Lives,2011,88%,/m/uncle_boonmee/,1,Art House & International,113 minutes,Strand,"$184,292",6,"$23,540",3,3/2/2011
678,Drive Angry,2011,46%,/m/drive-angry/,1,Action & Adventure,107 minutes,Sum.,"$10,721,033","2,290","$5,187,625","2,290",2/25/2011
679,Of Gods and Men,2011,92%,/m/of_gods_and_men/,1,Art House & International,120 minutes,SPC,"$3,954,651",120,"$308,895",33,2/25/2011
680,Donnie Brasco,1997,87%,/m/donnie_brasco/,0,Drama,115 minutes,Sony,"$41,909,762","1,593","$11,660,216","1,503",2/28/1997
681,Just Go with It,2011,18%,/m/just_go_with_it_2010/,1,Comedy,116 minutes,,,,,,
682,Oscar Nominated Live Action Shorts,2012,78%,/m/oscar_nominated_live_action_shorts/,1,Art House & International,94 minutes,,,,,,
683,Oscar Nominated Documentary Shorts,2013,75%,/m/oscar_nominated_documentary_shorts/,1,Art House & International,209 minutes,,,,,,
684,The Oscar Nominated Short Films: Animation,2011,100%,/m/the_oscar_nominated_short_films_animation/,1,Animation,85 minutes,,,,,,
685,The Eagle,2011,39%,/m/the-eagle-of-the-ninth/,0,Action & Adventure,114 minutes,,,,,,
686,The Other Woman,2010,,/m/other_woman-2008/,0,Drama,88 minutes,,,,,,
687,The Other Woman,2011,39%,/m/the_other_woman_2011/,1,Drama,88 minutes,,,,,,
688,Into Eternity,2011,100%,/m/into_eternity_2010/,1,Art House & International,75 minutes,ICir,"$55,366",6,"$3,530",1,2/2/2011
689,When We Leave,2011,74%,/m/when_we_leave/,1,Art House & International,119 minutes,,,,,,
690,Kaboom,2011,59%,/m/kaboom_2010/,1,Comedy,86 minutes,IFC,"$118,919",12,"$13,714",1,1/28/2011
691,The Housemaid,2011,73%,/m/the_housemaid/,1,Art House & International,107 minutes,IFC,"$157,961",12,"$16,670",2,1/21/2011
692,No Strings Attached,2011,49%,/m/no_strings_attached_2011/,0,Comedy,108 minutes,Par.,"$70,662,220","3,050","$19,652,921","3,018",1/21/2011
693,Petition,2011,100%,/m/petition/,1,Art House & International,124 minutes,,,,,,
694,The Green Hornet,2011,43%,/m/green_hornet/,0,Action & Adventure,119 minutes,Sony,"$98,780,042","3,584","$33,526,876","3,584",1/14/2011
695,The Dilemma,2011,24%,/m/the_dilemma/,1,Comedy,110 minutes,Uni.,"$48,475,290","2,943","$17,816,230","2,940",1/14/2011
696,East of Eden,1955,88%,/m/1006416-east_of_eden/,0,Classics,115 minutes,WB,n/a,n/a,n/a,n/a,3/9/1955
697,The Time That Remains,2011,84%,/m/time_that_remains/,1,Art House & International,109 minutes,IFC,"$32,869",2,"$6,453",1,1/7/2011
698,"If I Want To Whistle, I Whistle",2011,65%,/m/if_i_want_to_whistle_i_whistle/,0,Art House & International,94 minutes,,,,,,
699,Biutiful,2010,64%,/m/biutiful/,1,Art House & International,148 minutes,RAtt.,"$5,101,237",191,"$457,206",59,1/28/2011
700,Another Year,2010,92%,/m/another_year_2010/,1,Comedy,129 minutes,SPC,"$3,205,706",236,"$111,869",6,12/29/2010
701,The Strange Case Of Angelica,2010,88%,/m/the_strange_case_of_angelica_2010/,1,Art House & International,94 minutes,,,,,,
702,Blue Valentine,2010,88%,/m/blue_valentine/,1,Drama,114 minutes,Wein.,"$9,706,328",450,"$193,728",4,12/29/2010
703,Waking Life,2001,80%,/m/waking_life/,0,Animation,101 minutes,FoxS,"$2,901,447",93,"$88,977",4,10/19/2001
704,Gulliver's Travels,2010,20%,/m/gullivers-travels-2010/,0,Action & Adventure,87 minutes,Fox,"$42,779,261","3,089","$6,307,691","2,546",12/25/2010
705,Secret Sunshine,2010,93%,/m/milyang-secret-sunshine/,1,Art House & International,142 minutes,,,,,,
706,Somewhere,2010,71%,/m/somewhere_2010/,1,Comedy,98 minutes,,,,,,
707,Casino Jack,2010,38%,/m/casino-jack/,0,Comedy,108 minutes,ATO,"$1,042,959",60,"$34,528",7,12/17/2010
708,Rabbit Hole,2010,86%,/m/rabbit_hole/,0,Drama,91 minutes,LGF,"$2,229,058",131,"$53,778",5,12/17/2010
709,The Tempest,2010,30%,/m/tempest/,0,Comedy,110 minutes,Mira.,"$277,943",21,"$42,436",5,12/10/2010
710,And Everything Is Going Fine,2010,90%,/m/and_everything_is_going_fine/,1,Documentary,89 minutes,,,,,,
711,The Fighter,2010,90%,/m/the-fighter/,1,Drama,115 minutes,Par.,"$93,617,009","2,534","$300,010",4,12/10/2010
712,Night Catches Us,2010,81%,/m/night_catches_us/,1,Drama,90 minutes,Magn.,"$76,185",9,"$13,562",4,12/3/2010
713,Barney's Version,2011,80%,/m/barneys-version/,0,Art House & International,132 minutes,,,,,,
714,Kawasakiho ruze (Kawasaki's Rose),2010,87%,/m/kawasakis_rose_2010/,1,Art House & International,100 minutes,,,,,,
715,Love and Other Drugs,2010,49%,/m/love-and-other-drugs/,0,Comedy,112 minutes,Fox,"$32,367,005","2,458","$9,739,161","2,455",11/24/2010
716,Tangled,2010,89%,/m/tangled/,1,Animation,100 minutes,BV,"$200,821,936","3,603","$48,767,052","3,603",11/24/2010
717,The Next Three Days,2010,52%,/m/next_three_days/,0,Drama,133 minutes,LGF,"$21,148,651","2,564","$6,542,779","2,564",11/19/2010
718,Harry Potter and the Deathly Hallows - Part 1,2010,78%,/m/harry_potter_and_the_deathly_hallows_part_1/,1,Action & Adventure,146 minutes,,,,,,
719,Please Vote for Me,2007,,/m/please_vote_for_me/,0,Art House & International,58 minutes,,,,,,
720,Fair Game,2010,79%,/m/fair-game-2010/,1,Action & Adventure,108 minutes,,,,,,
721,Four Lions,2010,82%,/m/four_lions/,1,Comedy,102 minutes,Drft.,"$304,616",18,"$41,512",8,11/5/2010
722,127 Hours,2010,93%,/m/127_hours/,1,Drama,94 minutes,FoxS,"$18,335,230",916,"$264,851",4,11/5/2010
723,Inspector Bellamy,2010,89%,/m/1221011-bellamy/,1,Action & Adventure,110 minutes,IFC,"$107,612",4,"$20,635",2,10/29/2010
724,Wild Target,2010,32%,/m/wild_target/,0,Action & Adventure,98 minutes,Free,"$108,589",13,"$23,174",4,10/29/2010
725,The Kids Grow Up,2010,61%,/m/the_kids_grow_up/,1,Documentary,90 minutes,Shad.,"$12,095",1,"$4,497",1,10/29/2010
726,The Portuguese Nun (A Religiosa Portuguesa),2009,82%,/m/the-portugese-nun/,1,Art House & International,127 minutes,,,,,,
727,Conviction,2010,67%,/m/conviction_2010/,0,Drama,107 minutes,FoxS,"$6,783,129",672,"$102,351",11,10/15/2010
728,Red,2010,71%,/m/red/,0,Action & Adventure,111 minutes,,,,,,
729,Hereafter,2010,46%,/m/hereafter/,1,Drama,126 minutes,WB,"$32,746,941","2,424","$220,322",6,10/15/2010
730,Walkabout,1971,93%,/m/walkabout/,0,Action & Adventure,95 minutes,,,,,,
731,New In Town,2009,29%,/m/new_in_town/,0,Comedy,96 minutes,,,,,,
732,Tamara Drewe,2010,65%,/m/tamara_drewe_2010/,1,Art House & International,111 minutes,SPC,"$560,391",59,"$18,604",4,10/8/2010
733,It's Kind of a Funny Story,2010,58%,/m/its-kind-of-a-funny-story/,1,Comedy,101 minutes,Focus,"$6,363,628",757,"$2,013,406",742,10/8/2010
734,Inside Job,2010,98%,/m/inside_job_2010/,1,Documentary,108 minutes,SPC,"$4,312,735",250,"$39,649",2,10/8/2010
735,Nuremberg,2010,91%,/m/nuremberg_2010/,1,Documentary,78 minutes,,,,,,
736,Douchebag,2010,57%,/m/douchebag/,0,Comedy,81 minutes,Pala.,"$20,615",6,"$2,966",1,10/1/2010
737,Let Me In,2010,88%,/m/let_me_in/,1,Drama,116 minutes,Over.,"$12,134,935","2,042","$5,147,479","2,020",10/1/2010
738,Tokyo Story (Tôkyô monogatari),1953,100%,/m/tokyo_story/,0,Art House & International,134 minutes,,,,,,
739,Howl,2010,62%,/m/1211483-howl/,1,Animation,85 minutes,,,,,,
740,Wall Street: Money Never Sleeps,2010,55%,/m/wall_street_money_never_sleeps/,1,Drama,133 minutes,Fox,"$52,474,616","3,597","$19,011,188","3,565",9/24/2010
741,You Will Meet a Tall Dark Stranger,2010,45%,/m/you_will_meet_a_tall_dark_stranger/,0,Comedy,98 minutes,SPC,"$3,248,246",402,"$160,103",6,9/22/2010
742,The Town,2010,94%,/m/the_town/,1,Action & Adventure,151 minutes,,,,,,
743,Jack Goes Boating,2010,68%,/m/jack_goes_boating/,1,Comedy,91 minutes,Over.,"$541,992",90,"$28,916",4,9/17/2010
744,Catfish,2010,80%,/m/catfish/,1,Documentary,86 minutes,,,,,,
745,Genius Within: The Inner Life of Glenn Gould,2010,83%,/m/genius_within/,1,Documentary,109 minutes,Lorb.,"$167,508",9,"$17,034",3,9/10/2010
746,Who is Harry Nilsson (And Why is Everybody Talkin' About Him)?,2010,91%,/m/who_is_harry_nilsson/,1,Documentary,117 minutes,,,,,,
747,Melvin and Howard,1980,94%,/m/melvin_and_howard/,0,Comedy,95 minutes,Uni.,"$4,309,490",n/a,n/a,n/a,10/24/1980
748,Last Train Home,2010,100%,/m/last_train_home-2009/,1,Art House & International,85 minutes,Zeit.,"$288,328",14,"$20,418",1,9/3/2010
749,"A Woman, A Gun and a Noodle Shop (San qiang pai an jing qi) (A Simple Noodle Story) (The First Gun)",2010,32%,/m/770857882/,1,Art House & International,90 minutes,,,,,,
750,Going the Distance,2010,53%,/m/10012042-going_the_distance/,1,Comedy,97 minutes,WB (NL),"$17,804,299","3,030","$6,884,964","3,030",9/3/2010
751,The American,2010,66%,/m/american/,1,Drama,105 minutes,,,,,,
752,Charade,1963,92%,/m/1003883-charade/,0,Classics,115 minutes,Uni.,n/a,n/a,n/a,n/a,12/5/1963
753,Takers,2010,28%,/m/takers/,0,Action & Adventure,107 minutes,SGem,"$57,744,720","2,206","$20,512,304","2,206",8/27/2010
754,Change of Plans (Le Code a Changé),2010,50%,/m/le-code-a-change-change-of-plans/,1,Art House & International,100 minutes,,,,,,
755,Piranha 3-D,2010,73%,/m/piranha_3d/,0,Comedy,89 minutes,,,,,,
